th_time,th
893.632000208,385.592
895.632000208,341.412
897.673000097,355.58
899.67200017,376.3
901.67200017,355.26
903.671000004,373.088
905.671000004,356.572
907.670000076,389.212
909.670000076,299.42
911.670000076,312.552
913.669000149,347.528
915.669000149,329.144
917.667999983,307.984
919.667999983,311.236
921.667000055,342.26
923.667000055,374.14
925.666000128,318.2
927.666000128,307.14
929.6650002,358.812
931.6650002,325.16
933.664000034,410.576
935.664000034,318.308
937.664000034,372.368
939.663000107,358.636
941.663000107,335.644
943.662000179,411.128
945.662000179,164.832
947.703000069,79.58
949.702000141,132.816
951.702000141,249.496
953.702000141,393.792
955.700999975,377.248
957.742000103,594.848
959.742000103,171.324
961.741000175,222.372
963.741000175,265.768
965.74000001,141.368
967.782000065,248.664
969.781000137,161.816
971.781000137,265.076
973.779999971,218.452
975.822000027,230.14
977.863000154,225.952
979.861999989,232.504
981.861999989,207.9
983.861000061,81.032
985.861000061,94.104
987.860000134,120.4
989.860000134,77.972
991.860000134,153.46
993.859000206,98.776
995.859000206,106.188
997.85800004,110.284
999.85800004,95.068
1001.85700011,142.592
1003.85700011,117.08
1005.898,164.868
1007.89600015,92.304
1009.89499998,113.864
1011.85500002,139.052
1013.85400009,133.912
1015.85400009,124.608
1017.85400009,99.696
1019.85300016,95.024
1021.89400005,110.112
1023.89400005,94.988
1025.89300013,174.732
1027.89300013,259.128
1029.93200016,259.548
1031.8920002,199.548
1033.8920002,198.064
1035.89100003,235.848
1037.89100003,209.176
1039.8900001,205.788
1041.8900001,201.184
1043.88900018,207.44
1045.88900018,189.524
1047.88800001,241.384
1049.92799997,122.204
1051.88700008,186.028
1053.88700008,158.26
1055.88700008,130.692
1057.88600016,133.556
1059.88600016,128.256
1061.88499999,161.876
1063.88499999,143.952
1065.88400006,141.64
1067.88400006,182.892
1069.88300014,156.02
1071.9230001,181.148
1073.92200017,120.352
1075.92200017,89.468
1077.921,111.528
1079.9230001,116.952
1081.92200017,139.948
1083.92200017,146.496
1085.921,135.084
1087.921,124.664
1089.92000008,133.088
1091.96200013,101.664
1093.9610002,112.1
1095.9610002,101.492
1097.96000004,275.852
1099.96000004,251.912
1101.95900011,274.588
1103.95900011,265.9
1105.95800018,273.696
1107.95800018,269.876
1109.95700002,266.74
1111.95700002,290.896
1113.95700002,283.5
1115.95600009,316.68
1117.95600009,217.928
1119.95500016,157.1
1121.95500016,138.94
1123.954,127.284
1125.954,162.976
1127.95300007,161.256
1129.95300007,142.532
1131.95200014,155.12
1133.95200014,119.904
1135.95200014,113.812
1137.95099998,93.944
1139.95099998,177.592
1141.95000005,122.868
1143.95000005,214.704
1145.94900012,214.376
1147.99000001,133.54
1149.99000001,179.76
1151.99000001,138.68
1153.98900008,216.772
1155.98900008,224.588
1157.98800015,166.176
1159.98800015,205.736
1161.98699999,286.844
1163.98699999,269.304
1165.98600006,299.348
1168.02800012,294.324
1170.02700019,333.608
1172.02700019,318.012
1174.02600002,242.932
1176.02600002,261.584
1178.06700015,333.36
1180.06599998,290.056
1182.06599998,295.028
1184.06599998,129.076
1186.06500006,148.088
1188.06500006,161.972
1190.06400013,211.216
1192.06400013,191.436
1194.0630002,190.756
1196.0630002,172.684
1198.06200004,202.136
1200.06200004,162.944
1202.06100011,145.444
1204.06100011,100.556
1206.06100011,376.088
1208.06000018,126.488
1210.10100007,145.212
1212.10100007,211.54
1214.10000014,46.636
1216.10000014,637.624
1218.09899998,142.256
1220.09899998,119.672
1222.09899998,195.276
1224.09800005,47.36
1226.09800005,152.088
1228.13700008,14.58
1230.09700012,317.496
1232.09600019,232.812
1234.13600016,529.9
1236.13499999,380.036
1238.09500003,153.572
1240.0940001,126.532
1242.0940001,115.444
1244.13499999,76.1
1246.09300017,131.084
1248.13400006,616.412
1250.09200001,414.932
1252.09200001,329.816
1254.09100008,366.396
1256.09100008,396.86
1258.09000015,419.408
1260.09000015,275.476
1262.08899999,332.476
1264.08899999,513.484
1266.13000011,454.776
1268.13000011,407.176
1270.12900019,208.872
1272.16900015,221.088
1274.12800002,198.404
1276.12800002,265.048
1278.12700009,217.06
1280.12700009,207.724
1282.12600017,218.004
1284.12600017,449.2
1286.12600017,306.784
1288.16700006,386.44
1290.16600013,502.904
1292.16600013,534.176
1294.1650002,394.652
1296.1650002,357.9
1298.16400003,231.06
1300.16400003,211.8
1302.16400003,235.352
1304.16300011,355.1
1306.20300007,282.352
1308.20200014,312.468
1310.20200014,251.436
1312.20300007,274.196
1314.20200014,327.968
1316.20200014,357.088
1318.2420001,387.984
1320.24300003,458.272
1322.2420001,274.256
1324.2420001,308.852
1326.24100018,316.34
1328.24100018,360.088
1330.24000001,393.676
1332.24000001,431.376
1334.24000001,420.38
1336.23900008,219.928
1338.27999997,322.588
1340.27999997,516.316
1342.27900004,527.676
1344.27900004,385.308
1346.27800012,375.584
1348.32000017,444.1
1350.31900001,613.324
1352.31900001,546.524
1354.31800008,470.18
1356.31800008,358.888
1358.35900021,294.964
1360.35900021,276.308
1362.35800004,418.328
1364.35800004,525.852
1366.35700011,390.456
1368.35700011,567.868
1370.35600019,322.344
1372.35600019,434.104
1374.35500002,513.26
1376.35500002,594.604
1378.35400009,624.072
1380.35400009,556.54
1382.35400009,397.988
1384.35300016,366.964
1386.35300016,229.224
1388.352,203.408
1390.352,397.864
1392.35100007,473.34
1394.35100007,449.46
1396.35000014,497.324
1398.35000014,612.596
1400.34899998,481.184
1402.34899998,243.528
1404.34800005,182.676
1406.34800005,171.748
1408.34800005,432.424
1410.34700012,277.172
1412.34700012,252.008
1414.34600019,234.588
1416.34600019,325.488
1418.34500003,923.092
1420.34500003,939.728
1422.3440001,822.5
1424.3440001,762.492
1426.34300017,749.284
1428.34300017,1107.028
1430.34300017,407.752
1432.34200001,480.576
1434.34200001,436.576
1436.34100008,298.848
1438.34100008,318.568
1440.34000015,349.608
1442.34000015,291.808
1444.33899999,289.152
1446.33899999,240.632
1448.33800006,366.68
1450.33800006,309.848
1452.33800006,318.748
1454.33700013,432.412
1456.33700013,398.024
1458.3360002,369.604
1460.3360002,413.252
1462.33500004,356.436
1464.33500004,333.624
1466.33400011,304.292
1468.41700006,319.8
1470.41700006,290.764
1472.41600013,406.136
1474.41600013,398.476
1476.45500016,326.54
1478.4150002,445.716
1480.41400003,337.612
1482.41400003,337.48
1484.41400003,425.6
1486.45500016,366.252
1488.41300011,455.736
1490.41200018,517.356
1492.41200018,485.7
1494.41100001,459.8
1496.45200014,476.868
1498.41000009,395.9
1500.41000009,477.212
1502.40900016,364.596
1504.40900016,374.804
1506.40799999,398.216
1508.45000005,298.456
1510.44900012,380.808
1512.44900012,391.064
1514.44800019,405.152
1516.44800019,358.568
1518.48900008,459.0
1520.48900008,415.308
1522.48800015,424.632
1524.48800015,426.188
1526.48699999,367.556
1528.48699999,357.772
1530.48600006,475.828
1532.48600006,339.384
1534.48500013,351.836
1536.48500013,409.608
1538.52600002,333.904
1540.52600002,375.04
1542.5250001,422.728
1544.5250001,511.8
1546.52400017,410.408
1548.52400017,480.916
1550.523,387.92
1552.523,334.076
1554.56200004,407.924
1556.56200004,362.8
1558.5630002,284.944
1560.60300016,336.952
1562.602,297.352
1564.602,278.008
1566.60100007,421.212
1568.60300016,191.524
1570.602,192.664
1572.602,287.916
1574.60100007,249.088
1576.60100007,206.092
1578.60000014,212.264
1580.60000014,599.152
1582.59899998,227.092
1584.59899998,227.636
1586.6400001,162.9
1588.6400001,257.2
1590.63900018,244.2
1592.63900018,532.648
1594.63800001,271.98
1596.63800001,232.532
1598.63700008,229.612
1600.63700008,232.844
1602.63600016,264.676
1604.63600016,182.952
1606.63600016,212.212
1608.63499999,159.812
1610.63499999,562.612
1612.63400006,227.184
1614.63400006,247.58
1616.63300014,201.248
1618.63300014,192.708
1620.63200021,270.852
1622.63200021,190.036
1624.63100004,250.552
1626.63100004,316.68
1628.63100004,168.868
1630.63000011,218.628
1632.63000011,217.68
1634.62900019,547.212
1636.62900019,280.472
1638.62800002,232.944
1640.62800002,277.852
1642.62700009,215.416
1644.62700009,309.048
1646.62600017,157.324
1648.62600017,297.148
1650.625,279.1
1652.625,239.44
1654.625,124.772
1656.62400007,378.444
1658.62400007,287.436
1660.62300014,329.404
1662.62300014,332.852
1664.62199998,314.624
1666.62199998,402.16
1668.62100005,373.076
1670.62100005,355.236
1672.62000012,295.356
1674.62000012,263.64
1676.62000012,335.148
1678.6190002,341.516
1680.6190002,376.284
1682.61800003,355.724
1684.61800003,316.84
1686.6170001,53.44
1688.65799999,57.332
1690.65600014,27.052
1692.61600018,55.304
1694.65499997,100.852
1696.61500001,75.012
1698.65600014,65.176
1700.69700003,796.656
1702.65499997,618.928
1704.65499997,267.78
1706.65400004,265.916
1708.65200019,226.348
1710.65100002,163.484
1712.65100002,140.944
1714.6500001,192.948
1716.6500001,355.88
1718.69099998,283.112
1720.69099998,281.996
1722.69000006,177.704
1724.69000006,109.204
1726.68900013,89.508
1728.68900013,113.912
1730.6880002,203.74
1732.6880002,155.76
1734.6880002,364.58
1736.68700004,423.2
1738.68700004,466.624
1740.68600011,498.856
1742.68600011,627.792
1744.68500018,734.756
1746.68500018,674.632
1748.68400002,547.496
1750.68400002,550.588
1752.68300009,747.724
1754.68300009,406.484
1756.72300005,466.192
1758.72200012,506.948
1760.72200012,566.5
1762.72300005,464.856
1764.72200012,454.992
1766.72200012,544.472
1768.72100019,587.848
1770.72100019,673.404
1772.72100019,558.296
1774.72000003,471.28
1776.72000003,416.46
1778.7190001,501.808
1780.7190001,293.304
1782.71800017,252.94
1784.71800017,480.272
1786.71700001,491.224
1788.71700001,307.876
1790.71600008,264.76
1792.71600008,385.152
1794.71600008,436.968
1796.71500015,396.288
1798.71500015,236.972
1800.71399999,210.728
1802.71399999,267.9
1804.71300006,441.176
1806.71300006,506.012
1808.71200013,368.144
1810.71200013,373.904
1812.7110002,376.184
1814.7110002,448.024
1816.71000004,515.708
1818.71000004,457.96
1820.71000004,385.136
1822.70900011,383.988
1824.70900011,595.352
1826.70800018,521.364
1828.70800018,381.104
1830.70700002,478.98
1832.70700002,476.44
1834.70600009,483.428
1836.70600009,471.48
1838.70500016,439.604
1840.70500016,386.144
1842.70500016,365.224
1844.704,449.044
1846.704,330.04
1848.70300007,414.272
1850.70300007,346.072
1852.70200014,370.72
1854.70200014,435.216
1856.70099998,408.204
1858.70099998,325.216
1860.70000005,415.232
1862.70000005,286.696
1864.70000005,239.684
1866.69900012,323.536
1868.69900012,206.564
1870.69800019,137.084
1872.69800019,147.824
1874.73699999,169.572
1876.69700003,181.156
1878.6960001,150.664
1880.73600006,154.112
1882.69500017,164.648
1884.69500017,131.784
1886.69400001,160.268
1888.73600006,157.456
1890.77700019,268.156
1892.81599998,480.668
1894.81599998,509.548
1896.77600002,456.944
1898.7750001,416.672
1900.7750001,482.344
1902.77400017,447.352
1904.81400013,366.22
1906.81500006,421.36
1908.81400013,475.628
1910.81400013,388.624
1912.81400013,346.712
1914.85300016,310.044
1916.8130002,376.56
1918.89499998,366.872
1920.93700004,299.808
1922.93500018,346.532
1924.89400005,315.028
1926.89400005,306.636
1928.89300013,243.596
1930.89300013,234.584
1932.8920002,242.908
1934.97500014,278.104
1936.97300005,381.476
1938.97399998,517.364
1940.93200016,510.384
1942.97300005,351.172
1944.93099999,360.484
1946.93099999,365.444
1948.97200012,498.172
1951.08200002,439.008
1953.08200002,530.152
1955.08100009,539.02
1957.12199998,418.824
1959.16200018,354.124
1961.20500016,156.116
1963.24600005,338.56
1965.28700018,367.908
1967.28700018,134.584
1969.28600001,246.616
1971.28600001,316.156
1973.32700014,373.72
1975.45099998,142.06
1977.53400016,493.856
1979.70099998,579.364
1981.82500005,569.848
1983.90799999,515.592
1985.99100018,570.132
1988.03200006,581.94
1990.15600014,525.848
1992.19800019,559.844
1994.23900008,608.812
1996.23800015,778.82
1998.23800015,671.408
2000.23699999,660.292
2002.23699999,657.312
2004.23699999,765.356
2006.23600006,668.46
2008.27700019,673.076
2010.44200015,604.168
2012.44300008,403.836
2014.48300004,365.076
2016.48400021,360.292
2018.56700015,497.7
2020.64900017,238.28
2022.81599998,414.948
2024.85700011,316.024
2026.85600019,433.928
2028.898,318.32
2030.98000002,285.696
2033.0630002,291.96
2035.10500002,406.44
2037.18700004,686.508
2039.22900009,733.828
2041.26999998,600.792
2043.35300016,660.592
2045.352,637.268
2047.39300013,474.788
2049.51800013,751.972
2051.55900002,788.768
2053.55900002,634.916
2055.60000014,740.4
2057.59899998,681.204
2059.59899998,672.38
2061.72200012,467.444
2063.72300005,768.964
2065.84700012,521.244
2067.88900018,453.976
2069.88800001,528.944
2071.88800001,373.748
2073.88700008,347.828
2075.88700008,349.58
2077.92799997,272.096
2079.92799997,218.048
2081.9690001,198.688
2083.96800017,362.728
2086.00999999,222.484
2088.00900006,167.308
2090.13400006,111.696
2092.21600008,102.552
2094.21600008,114.752
2096.25700021,160.812
2098.25700021,213.008
2100.2980001,252.252
2102.29700017,151.776
2104.29700017,298.208
2106.33800006,245.152
2108.37900019,147.272
2110.421,120.04
2112.46200013,113.196
2114.50300002,121.492
2116.5860002,123.58
2118.62700009,79.264
2120.66799998,56.516
